Pos,Club,MP,W,D,L,GF,GA,GD,Pts
1,Man City,180,124,27,29,420,161,259,399
2,Liverpool,181,116,42,23,380,173,207,390
3,Tottenham,181,102,39,40,343,176,167,345
4,Chelsea,181,98,39,44,320,202,118,333
5,Man United,181,93,48,40,280,176,104,327
6,Arsenal,180,92,43,45,329,218,111,319
7,Leicester,181,78,43,60,281,235,46,277
8,Everton,181,66,50,65,256,249,7,248
9,West Ham,181,60,48,73,247,288,-41,228
10,Southampton,181,56,50,75,217,262,-45,218
11,Crystal Palace,181,58,41,82,211,254,-43,215
12,Bournemouth,181,54,42,85,230,312,-82,204
13,Watford,181,54,41,86,203,285,-82,203
14,Burnley,143,47,32,64,154,202,-48,173
15,Newcastle,143,42,35,66,150,201,-51,161
16,Stoke,114,32,32,50,117,179,-62,128
17,Swansea,114,32,25,57,115,178,-63,121
18,West Brom,114,28,35,51,108,155,-47,119
19,Brighton,105,24,33,48,101,154,-53,105
20,Wolves,67,26,22,19,88,80,8,100
21,Sunderland,76,15,18,43,77,131,-54,63
22,Norwich,67,14,13,40,64,119,-55,55
23,Huddersfield,76,12,17,47,50,134,-84,53
24,Sheffield United,28,11,10,7,30,25,5,43
25,Aston Villa,66,10,12,44,61,132,-71,42
26,Hull,38,9,7,22,37,80,-43,34
27,Cardiff,38,10,4,24,34,69,-35,34
28,Middlesbrough,38,5,13,20,27,53,-26,28
29,Fulham,38,7,5,26,34,81,-47,26
